ID|sourateID|numeroverset|verset
34|2|27|qui rompent le pacte qu&apos;ils avaient fermement conclu avec Allah, coupent ce qu&apos;Allah a ordonn&eacute; d&apos;unir, et s&egrave;ment la corruption sur la terre. Ceux-l&agrave; sont les vrais perdants.
35|2|28|Comment pouvez-vous renier Allah alors qu&apos;Il vous a donn&eacute; la vie, quand vous en &eacute;tiez priv&eacute;s? Puis Il vous fera mourir; puis Il vous fera revivre et enfin c&apos;est &agrave; Lui que vous retournerez.
36|2|29|C&apos;est Lui qui a cr&eacute;&eacute; pour vous tout ce qui est sur la terre, puis Il a orient&eacute; Sa volont&eacute; vers le ciel et en fit sept cieux. Et Il est Omniscient.
37|2|30|Lorsque Ton Seigneur confia aux Anges: &laquo;Je vais &eacute;tablir sur la terre un vicaire &laquo;Khalifa&raquo;. Ils dirent: &laquo;Vas-Tu y d&eacute;signer un qui y mettra le d&eacute;sordre et r&eacute;pandra le sang, quand nous sommes l&agrave; &agrave; Te sanctifier et &agrave; Te glorifier?&raquo; - Il dit: &laquo;En v&eacute;rit&eacute;, Je sais ce que vous ne savez pas!&raquo;.
38|2|31|Et Il apprit &agrave; Adam tous les noms (de toutes choses), puis Il les pr&eacute;senta aux Anges et dit: &laquo;Informez-Moi des noms de ceux-l&agrave;, si vous &ecirc;tes v&eacute;ridiques!&raquo; (dans votre pr&eacute;tention que vous &ecirc;tes plus m&eacute;ritants qu&apos;Adam).
39|2|32|- Ils dirent: &laquo;Gloire &agrave; Toi! Nous n&apos;avons de savoir que ce que Tu nous a appris. Certes c&apos;est Toi l&apos;Omniscient, le Sage&raquo;.
40|2|33|Il dit: &laquo;O Adam, informe-les de ces noms ;&raquo; Puis quand celui-ci les eut inform&eacute;s de ces noms, Allah dit: &laquo;Ne vous ai-Je pas dit que Je connais les myst&egrave;res des cieux et de la terre, et que Je sais ce que vous divulguez et ce que vous cachez?&raquo;
41|2|34|Et lorsque Nous demand&acirc;mes aux Anges de se prosterner devant Adam, ils se prostern&egrave;rent &agrave; l&apos;exception d&apos;Iblis qui refusa, s&apos;enfla d&apos;orgueil et fut parmi les infid&egrave;les.
42|2|35|Et Nous d&icirc;mes: &laquo;O Adam, habite le Paradis toi et ton &eacute;pouse, et nourrissez-vous-en de partout &agrave; votre guise; mais n&apos;approchez pas de l&apos;arbre que voici: sinon vous seriez du nombre des injustes&raquo;.
43|2|36|Peu de temps apr&egrave;s, Satan les fit glisser de l&agrave; et les fit sortir du lieu o&ugrave; ils &eacute;taient. Et Nous d&icirc;mes: &laquo;Descendez (du Paradis); ennemis les uns des autres. Et pour vous il y aura une demeure sur la terre, et un usufruit pour un temps.
44|2|37|Puis Adam re&ccedil;ut de son Seigneur des paroles, et Allah agr&eacute;a son repentir car c&apos;est Lui certes, le Repentant, le Mis&eacute;ricordieux.
45|2|38|- Nous d&icirc;mes: &laquo;Descendez d&apos;ici, vous tous! Toutes les fois que Je vous enverrai un guide, ceux qui [le] suivront n&apos;auront rien &agrave; craindre et ne seront point afflig&eacute;s&raquo;.
46|2|39|Et ceux qui ne croient pas (&agrave; nos messagers) et traitent de mensonge Nos r&eacute;v&eacute;lations, ceux-l&agrave; sont les gens du Feu o&ugrave; ils demeureront &eacute;ternellement.
47|2|40|O enfants d&apos;Isra&euml;l, rappelez-vous Mon bienfait dont Je vous ai combl&eacute;s. Si vous tenez vos engagements vis-&agrave;-vis de Moi, Je tiendrai les miens. Et c&apos;est Moi que vous devez redouter.
48|2|41|Et croyez &agrave; ce que J&apos;ai fait descendre, en confirmation de ce qui &eacute;tait d&eacute;j&agrave; avec vous; et ne soyez pas les premiers &agrave; le rejeter. Et n&apos;&eacute;changez pas Mes r&eacute;v&eacute;lations contre un vil prix. Et c&apos;est Moi que vous devez craindre.
49|2|42|Et ne m&ecirc;lez pas le faux &agrave; la v&eacute;rit&eacute;. Ne cachez pas sciemment la v&eacute;rit&eacute;.
50|2|43|Et accomplissez la Sal&acirc;t, et acquittez la Zak&acirc;t, et inclinez-vous avec ceux qui s&apos;inclinent.
51|2|44|Commanderez-vous aux gens de faire le bien, et vous oubliez vous-m&ecirc;mes de le faire, alors que vous r&eacute;citez le Livre? Etes-vous donc d&eacute;pourvus de raison?
52|2|45|Et cherchez secours dans l&apos;endurance et la sal&acirc;t: certes, la Sal&acirc;t est une lourde obligation, sauf pour les humbles,
53|2|46|qui ont la certitude de rencontrer leur Seigneur (apr&egrave;s leur r&eacute;surrection) et retourner &agrave; Lui seul.
54|2|47|O Enfants d&apos;Isra&euml;l, rappelez-vous Mon bienfait dont Je vous ai combl&eacute;s, (Rappelez-vous) que Je vous ai pr&eacute;f&eacute;r&eacute;s &agrave; tous les peuples (de l&apos;&eacute;poque).
55|2|48|Et redoutez le jour o&ugrave; nulle &acirc;me ne suffira en quoi que ce soit &agrave; une autre; o&ugrave; l&apos;on n&apos;acceptera d&apos;elle aucune intercession; et o&ugrave; on ne recevra d&apos;elle aucune compensation. Et ils ne seront point secourus.
56|2|49|Et [rappelez-vous] lorsque Nous vous avons d&eacute;livr&eacute;s des gens de Pharaon; qui vous infligeaient le pire ch&acirc;timent: en &eacute;gorgeant vos fils et &eacute;pargnant vos femmes. C&apos;&eacute;tait l&agrave; une grande &eacute;preuve de la part de votre Seigneur.
57|2|50|Et [rappelez-vous] lorsque Nous avons fendu la mer pour vous donner passage!... Nous vous avons donc d&eacute;livr&eacute;s, et noy&eacute; les gens de Pharaon, tandis que vous regardiez.
58|2|51|Et [rappelez-vous] lorsque Nous donn&acirc;mes rendez-vous &agrave; Mo&iuml;se pendant quarante nuits!... Puis en son absence vous avez pris le Veau pour idole alors que vous &eacute;tiez injustes (&agrave; l&apos;&eacute;gard de vous-m&ecirc;mes en adorant autre qu&apos;Allah).
59|2|52|Mais en d&eacute;pit de cela Nous vous pardonn&acirc;mes, afin que vous reconnaissiez (Nos bienfaits &agrave; votre &eacute;gard).
60|2|53|Et [rappelez-vous] lorsque Nous avons donn&eacute; &agrave; Mo&iuml;se le Livre et le Discernement afin que vous soyez guid&eacute;s.
61|2|54|Et [rappelez-vous] lorsque Mo&iuml;se dit &agrave; son peuple: &laquo;O mon peuple, certes vous vous &ecirc;tes fait du tort &agrave; vous-m&ecirc;mes en prenant le Veau pour idole. Revenez donc &agrave; votre Cr&eacute;ateur; puis, tuez donc les coupables vous-m&ecirc;mes: ce serait mieux pour vous, aupr&egrave;s de votre Cr&eacute;ateur!&raquo;... C&apos;est ainsi qu&apos;Il agr&eacute;a votre repentir; car c&apos;est Lui, certes, le Repentant et le Mis&eacute;ricordieux!
62|2|55|Et [rappelez-vous] lorsque vous dites: &laquo;O Mo&iuml;se, nous ne te croirons qu&apos;apr&egrave;s avoir vu Allah clairement&raquo;!... Alors la foudre vous saisit tandis que vous regardiez.
63|2|56|Puis Nous vous ressuscit&acirc;mes apr&egrave;s votre mort afin que vous soyez reconnaissants.
64|2|57|Et Nous vous couvr&icirc;mes de l&apos;ombre d&apos;un nuage; et f&icirc;mes descendre sur vous la manne et les cailles: - &laquo;Mangez des d&eacute;lices que Nous vous avons attribu&eacute;s!&raquo; - Ce n&apos;est pas &agrave; Nous qu&apos;ils firent du tort, mais ils se firent tort &agrave; eux-m&ecirc;mes.
65|2|58|Et [rappelez-vous] lorsque Nous d&icirc;mes: &laquo;Entrez dans cette ville, et mangez-y &agrave; l&apos;envie o&ugrave; il vous plaira; mais entrez par la porte en vous prosternant et demandez la &laquo;r&eacute;mission&raquo; (de vos p&eacute;ch&eacute;s); Nous vous pardonnerons vos fautes si vous faites cela et donnerons davantage de r&eacute;compense pour les bienfaisants.
66|2|59|Mais, &agrave; ces paroles, les pervers en substitu&egrave;rent d&apos;autres, et pour les punir de leur fourberie Nous leur envoy&acirc;mes du ciel un ch&acirc;timent avilissant.
67|2|60|Et [rappelez-vous] quand Mo&iuml;se demanda de l&apos;eau pour d&eacute;salt&eacute;rer son peuple, c&apos;est alors que Nous d&icirc;mes: &laquo;Frappe le rocher avec ton b&acirc;ton&raquo;. Et tout d&apos;un coup, douze sources en jaillirent, et certes, chaque tribu sut o&ugrave; s&apos;abreuver! - &laquo;Mangez et buvez de ce qu&apos;Allah vous accorde; et ne semez pas de troubles sur la terre comme des fauteurs de d&eacute;sordre&raquo;.
68|2|61|Et [rappelez-vous] quand vous d&icirc;tes: &laquo;O Mo&iuml;se, nous ne pouvons plus tol&eacute;rer une seule nourriture. Prie donc ton Seigneur pour qu&apos;Il nous fasse sortir de la terre ce qu&apos;elle fait pousser, de ses l&eacute;gumes, ses concombres, son ail (ou bl&eacute;), ses lentilles et ses oignons!&raquo; - Il vous r&eacute;pondit: &laquo;Voulez-vous &eacute;changer le meilleur pour le moins bon? Descendez donc &agrave; n&apos;importe quelle ville; vous y trouverez certainement ce que vous demandez!&raquo;. L&apos;avilissement et la mis&egrave;re s&apos;abattirent sur eux; ils encoururent la col&egrave;re d&apos;Allah. Cela est parce qu&apos;ils reniaient les r&eacute;v&eacute;lations d&apos;Allah, et qu&apos;ils tuaient sans droit les proph&egrave;tes. Cela parce qu&apos;ils d&eacute;sob&eacute;issaient et transgressaient.
69|2|62|Certes, ceux qui ont cru, ceux qui se sont juda&iuml;s&eacute;s, les Nazar&eacute;ens, et les sab&eacute;ens, quiconque d&apos;entre eux a cru en Allah au Jour dernier et accompli de bonnes &oelig;uvres, sera r&eacute;compens&eacute; par son Seigneur; il n&apos;&eacute;prouvera aucune crainte et il ne sera jamais afflig&eacute;.
70|2|63|(Et rappelez-vous) quand Nous avons contract&eacute; un engagement avec vous et brandi sur vous le Mont -: &laquo;Tenez ferme ce que Nous vous avons donn&eacute; et souvenez-vous de ce qui s&apos;y trouve afin que vous soyez pieux!&raquo;
71|2|64|Puis vous vous en d&eacute;tourn&acirc;tes apr&egrave;s vos engagements, n&apos;e&ucirc;t &eacute;t&eacute; donc la gr&acirc;ce d&apos;Allah et Sa mis&eacute;ricorde, vous seriez certes parmi les perdants.
72|2|65|Vous avez certainement connu ceux des v&ocirc;tres qui transgress&egrave;rent le Sabbat. Et bien Nous leur d&icirc;mes: &laquo;Soyez des singes abjects!&raquo;
73|2|66|Nous f&icirc;mes donc de cela un exemple pour les villes qui l&apos;entouraient alors et une exhortation pour les pieux.
74|2|67|(Et rappelez-vous) lorsque Mo&iuml;se dit &agrave; son peuple: &laquo;Certes Allah vous ordonne d&apos;immoler une vache&raquo;. Ils dirent: &laquo;Nous prends-tu en moquerie?&raquo; &laquo;Qu&apos;Allah me garde d&apos;&ecirc;tre du nombre des ignorants&raquo; dit-il.
75|2|68|- Ils dirent: &laquo;Demande pour nous &agrave; ton Seigneur qu&apos;Il nous pr&eacute;cise ce qu&apos;elle doit &ecirc;tre&raquo;. - Il dit: &laquo;Certes Allah dit que c&apos;est bien une vache, ni vieille ni vierge, d&apos;un &acirc;ge moyen, entre les deux. Faites donc ce qu&apos;on vous commande&raquo;.
76|2|69|- Ils dirent: &laquo;Demande donc pour nous &agrave; ton Seigneur qu&apos;Il nous pr&eacute;cise sa couleur&raquo;. - Il dit: &laquo;Allah dit que c&apos;est une vache jaune, de couleur vive et plaisante &agrave; voir&raquo;.
77|2|70|- Ils dirent: &laquo;Demande pour nous &agrave; ton Seigneur qu&apos;Il nous pr&eacute;cise ce qu&apos;elle est car pour nous, les vaches se confondent. Mais, nous y serions certainement bien guid&eacute;s, si Allah le veut&raquo;.
78|2|71|- Il dit: &laquo;Allah dit que c&apos;est bien une vache qui n&apos;a pas &eacute;t&eacute; asservie &agrave; labourer la terre ni &agrave; arroser le champ, indemne d&apos;infirmit&eacute; et dont la couleur est unie&raquo;. - Ils dirent: &laquo;Te voil&agrave; enfin, tu nous as apport&eacute; la v&eacute;rit&eacute;!&raquo; Ils l&apos;immol&egrave;rent alors mais il s&apos;en fallut qu&apos;ils ne l&apos;eussent pas fait.
79|2|72|Et quand vous aviez tu&eacute; un homme et que chacun de vous cherchait &agrave; se disculper!... Mais Allah d&eacute;masque ce que vous dissimuliez.
80|2|73|Nous d&icirc;mes donc: &laquo;Frappez le tu&eacute; avec une partie de la vache&raquo;. - Ainsi Allah ressuscite les morts et vous montre les signes (de Sa puissance) afin que vous raisonniez
81|2|74|Puis, et en d&eacute;pit de tout cela, vos c&oelig;urs se sont endurcis; ils sont devenus comme des pierres ou m&ecirc;me plus durs encore; car il y a des pierres d&apos;o&ugrave; jaillissent les ruisseaux, d&apos;autres se fendent pour qu&apos;en surgisse l&apos;eau, d&apos;autres s&apos;affaissent par crainte d&apos;Allah. Et Allah n&apos;est certainement jamais inattentif &agrave; ce que vous faites
82|2|75|- Eh bien, esp&eacute;rez-vous [Musulmans] que des pareils gens (les Juifs) vous partageront la foi? alors qu&apos;un groupe d&apos;entre eux; apr&egrave;s avoir entendu et compris la parole d&apos;Allah, la falsifi&egrave;rent sciemment.
83|2|76|Et quand ils rencontrent des croyants, ils disent: &laquo;Nous croyons&raquo; et, une fois seuls entre eux, ils disent: &laquo;Allez-vous confier aux musulmans ce qu&apos;Allah vous a r&eacute;v&eacute;l&eacute; pour leur fournir, ainsi, un argument contre vous devant votre Seigneur! Etes-vous donc d&eacute;pourvus de raison?&raquo;.
84|2|77|- Ne savent-ils pas qu&apos;en v&eacute;rit&eacute; Allah sait ce qu&apos;ils cachent et ce qu&apos;ils divulguent?
85|2|78|Et il y a parmi eux des illettr&eacute;s qui ne savent rien du Livre hormis des pr&eacute;tentions et ils ne font que des conjectures.
86|2|79|Malheur, donc, &agrave; ceux qui de leurs propres mains composent un livre puis le pr&eacute;sentent comme venant d&apos;Allah pour en tirer un vil profit! - Malheur &agrave; eux, donc, &agrave; cause de ce que leurs mains ont &eacute;crit, et malheur &agrave; eux &agrave; cause de ce qu&apos;ils en profitent!
87|2|80|Et ils ont dit: &laquo;Le Feu ne nous touchera que pour quelques jours compt&eacute;s!&raquo;. Dis: &laquo;Auriez-vous pris un engagement avec Allah - car Allah ne manque jamais &agrave; Son engagement; - non, mais vous dites sur Allah ce que vous ne savez pas&raquo;.
88|2|81|Bien au contraire! Ceux qui font le mal et qui se font cerner par leurs p&eacute;ch&eacute;s, ceux-l&agrave; sont les gens du Feu o&ugrave; ils demeureront &eacute;ternellement.
89|2|82|Et ceux qui croient et pratiquent les bonnes &oelig;uvres, ceux-l&agrave; sont les gens du Paradis o&ugrave; ils demeureront &eacute;ternellement.
90|2|83|Et [rappelle-toi], lorsque Nous avons pris l&apos;engagement des enfants d&apos;Isra&euml;l de n&apos;adorer qu&apos;Allah, de faire le bien envers les p&egrave;res, les m&egrave;res, les proches parents, les orphelins et les n&eacute;cessiteux, d&apos;avoir de bonnes paroles avec les gens; d&apos;accomplir r&eacute;guli&egrave;rement la Sal&acirc;t et d&apos;acquitter la Zak&acirc;t! - Mais &agrave; l&apos;exception d&apos;un petit nombre de vous, vous manquiez &agrave; vos engagements en vous d&eacute;tournant de Nos commandements.
91|2|84|Et rappelez-vous, lorsque Nous obt&icirc;nmes de vous l&apos;engagement de ne pas vous verser le sang, [par le meurtre] de ne pas vous expulser les uns les autres de vos maisons. Puis vous y avez souscrit avec votre propre t&eacute;moignage.
92|2|85|Quoique ainsi engag&eacute;s, voil&agrave; que vous vous entretuez, que vous expulsez de leurs maisons une partie d&apos;entre vous contre qui vous pr&ecirc;tez main forte par p&eacute;ch&eacute; et agression. Mais quelle contradiction! Si vos coreligionnaires vous viennent captifs vous les ran&ccedil;onnez alors qu&apos;il vous &eacute;tait interdit de les expulser (de chez eux). Croyez-vous donc en une partie du Livre et rejetez-vous le reste? Ceux d&apos;entre vous qui agissent de la sorte ne m&eacute;ritent que l&apos;ignominie dans cette vie, et au Jour de la R&eacute;surrection ils seront refoul&eacute;s au plus dur ch&acirc;timent, et Allah n&apos;est pas inattentif &agrave; ce que vous faites.
93|2|86|Voil&agrave; ceux qui &eacute;changent la vie pr&eacute;sente contre la vie future. Eh bien, leur ch&acirc;timent ne sera pas diminu&eacute;. Et ils ne seront point secourus.
94|2|87|Certes, Nous avons donn&eacute; le Livre &agrave; Mo&iuml;se; Nous avons envoy&eacute; apr&egrave;s lui des proph&egrave;tes successifs. Et Nous avons donn&eacute; des preuves &agrave; J&eacute;sus fils de Marie, et Nous l&apos;avons renforc&eacute; du Saint-Esprit. Est-ce qu&apos;&agrave; chaque fois, qu&apos;un Messager vous apportait des v&eacute;rit&eacute;s contraires &agrave; vos souhaits vous vous enfliez d&apos;orgueil? Vous traitiez les uns d&apos;imposteurs et vous tuiez les autres.
95|2|88|Et ils dirent: &laquo;Nos c&oelig;urs sont envelopp&eacute;s et imp&eacute;n&eacute;trables&raquo; - Non mais Allah les a maudits &agrave; cause de leur infid&eacute;lit&eacute;, leur foi est donc m&eacute;diocre.
96|2|89|Et quand leur vint d&apos;Allah un Livre confirmant celui qu&apos;ils avaient d&eacute;j&agrave;, - alors qu&apos;auparavant ils cherchaient la supr&eacute;matie sur les m&eacute;cr&eacute;ants, - quand donc leur vint cela m&ecirc;me qu&apos;ils reconnaissaient, ils refus&egrave;rent d&apos;y croire. Que la mal&eacute;diction d&apos;Allah soit sur les m&eacute;cr&eacute;ants!
97|2|90|Comme est vil ce contre quoi ils ont troqu&eacute; leurs &acirc;mes! Ils ne croient pas en ce qu&apos;Allah a fait descendre, r&eacute;volt&eacute;s &agrave; l&apos;id&eacute;e qu&apos;Allah, de par Sa gr&acirc;ce, fasse descendre la r&eacute;v&eacute;lation sur ceux de Ses serviteurs qu&apos;Il veut. Ils ont donc acquis col&egrave;re sur col&egrave;re, car un ch&acirc;timent avilissant attend les infid&egrave;les!
98|2|91|Et quand on leur dit: &laquo;Croyez &agrave; ce qu&apos;Allah a fait descendre&raquo;, ils disent: &laquo;Nous croyons &agrave; ce qu&apos;on a fait descendre &agrave; nous&raquo;. Et ils rejettent le reste, alors qu&apos;il est la v&eacute;rit&eacute; confirmant ce qu&apos;il y avait d&eacute;j&agrave; avec eux. - Dis: &laquo;Pourquoi donc avez-vous tu&eacute; auparavant les proph&egrave;tes d&apos;Allah, si vous &eacute;tiez croyants?&raquo;.
99|2|92|Et en effet Mo&iuml;se vous est venu avec les preuves. Malgr&eacute; cela, une fois absent, vous avez pris le Veau pour idole, alors que vous &eacute;tiez injustes.
100|2|93|Et rappelez-vous, lorsque Nous avons pris l&apos;engagement de vous, et brandi sur vous AT-T&ucirc;r (le Mont Sina&iuml;) en vous disant: &laquo;Tenez ferme &agrave; ce que Nous vous avons donn&eacute;, et &eacute;coutez!&raquo;. Ils dirent: &laquo;Nous avons &eacute;cout&eacute; et d&eacute;sob&eacute;i&raquo;. Dans leur impi&eacute;t&eacute;, leurs c&oelig;urs &eacute;taient passionn&eacute;ment &eacute;pris du Veau (objet de leur culte). Dis-[leur]: &laquo;Quelles mauvaises prescriptions ordonn&eacute;es par votre foi, si vous &ecirc;tes croyants&raquo;.
101|2|94|- Dis: &laquo;Si l&apos;Ultime demeure aupr&egrave;s d&apos;Allah est pour vous seuls, &agrave; l&apos;exclusion des autres gens, souhaitez donc la mort [imm&eacute;diate] si vous &ecirc;tes v&eacute;ridiques!&raquo;
102|2|95|Or, ils ne la souhaiteront jamais, sachant tout le mal qu&apos;ils ont perp&eacute;tr&eacute; de leurs mains. Et Allah connait bien les injustes.
103|2|96|Et certes tu les trouveras les plus attach&eacute;s &agrave; la vie [d&apos;ici-bas], pire en cela que les Associateurs. Tel d&apos;entre eux aimerait vivre mille ans. Mais une pareille long&eacute;vit&eacute; ne le sauvera pas du ch&acirc;timent! Et Allah voit bien leurs actions.
104|2|97|Dis: &laquo;Quiconque est ennemi de Gabriel doit conna&icirc;tre que c&apos;est lui qui, avec la permission d&apos;Allah, a fait descendre sur ton c&oelig;ur cette r&eacute;v&eacute;lation qui d&eacute;clare v&eacute;ridiques les messages ant&eacute;rieurs et qui sert aux croyants de guide et d&apos;heureuse annonce&raquo;
105|2|98|[Dis:] &laquo;Quiconque est ennemi d&apos;Allah, de Ses anges, de Ses messagers, de Gabriel et de Micha&euml;l... [Allah sera son ennemi] car Allah est l&apos;ennemi des infid&egrave;les&raquo;.
106|2|99|Et tr&egrave;s certainement Nous avons fait descendre vers toi des signes &eacute;vidents. Et seuls les pervers n&apos;y croient pas.
107|2|100|Faudrait-il chaque fois qu&apos;ils concluent un pacte, qu&apos;une partie d&apos;entre eux le d&eacute;nonce? C&apos;est que plut&ocirc;t la plupart d&apos;entre eux ne sont pas croyants.
108|2|101|Et quand leur vint d&apos;Allah un messager confirmant ce qu&apos;il y avait d&eacute;j&agrave; avec eux, certains &agrave; qui le Livre avait &eacute;t&eacute; donn&eacute;, jet&egrave;rent derri&egrave;re leur dos le Livre d&apos;Allah comme s&apos;ils ne savaient pas!
